title,slug,outcome,avg_price,current_price,size,value_usd,cash_pnl,percent_pnl
Lakers vs. Mavericks: O/U 232.5,nba-lal-dal-2026-04-05-total-232pt5,Under,0.502115,0.0,5.742721,2.8713605,-0.012145854915000033,-0.4212182468159696
San Diego Padres vs. Boston Red Sox: O/U 9.5,mlb-sd-bos-2026-04-05-total-9pt5,Over,0.43,0.0,5.8974,2.447421,-0.088461,-3.488372093023256
Lakers vs. Mavericks: O/U 235.5,nba-lal-dal-2026-04-05-total-235pt5,Over,0.42,0.0,5.538445,2.4092235750000004,0.08307667500000028,3.5714285714285836
Rockets vs. Warriors: O/U 225.5,nba-hou-gsw-2026-04-05-total-225pt5,Over,0.47,0.0,3.773582,1.9056589099999999,0.1320753700000001,7.446808510638305
"Upper Austria Ladies Linz, Qualification: Maria Timofeeva vs Alina Charaeva",wta-timofee-charaev-2026-04-05,Alina Charaeva,0.264019,0.0,3360.952127,1.6804760635,-885.6747435549129,-99.81061969024955
"Rolex Monte Carlo Masters, Qualification: Juan Manuel Cerundolo vs Pedro Martinez",atp-cerund-martine-2026-04-05,Pedro Martinez,0.416018,0.0,3303.316007,1.6516580035000001,-1372.587260596626,-99.87981289271137
Lakers vs. Mavericks: O/U 235.5,nba-lal-dal-2026-04-05-total-235pt5,Under,0.56,0.0,2.295453,1.2969309449999997,0.011477264999999666,0.8928571428571166
Chicago Cubs vs. Cleveland Guardians: O/U 7.5,mlb-chc-cle-2026-04-04-total-7pt5,Under,0.49,0.0,1.960783,0.9901954150000001,0.02941174500000011,3.06122448979593
Raptors vs. Celtics: O/U 221.5,nba-tor-bos-2026-04-05-total-221pt5,Over,0.46,0.0,1.85185,0.87962875,0.02777775,3.260869565217391
Milwaukee Brewers vs. Kansas City Royals: O/U 8.5,mlb-mil-kc-2026-04-03-total-8pt5,Under,0.430083,0.0,1757.95984,0.87897992,-755.18966194672,-99.88374337046571
Clippers vs. Kings: O/U 231.5,nba-lac-sac-2026-04-05-total-231pt5,Over,0.44,0.0,1.80357,0.8116065,0.018035699999999953,2.2727272727272667
Suns vs. Bulls: O/U 235.5,nba-phx-chi-2026-04-05-total-235pt5,Under,0.41,0.0,1.711863,0.71898246,0.017118630000000006,2.4390243902439033
"Upper Austria Ladies Linz, Qualification: Madison Brengle vs Dominika Salkova",wta-brengle-salkova-2026-04-05,Madison Brengle,0.270322,0.0,10.855894,0.711061057,-2.223525920868,-75.76963769134586
"Upper Austria Ladies Linz, Qualification: Tamara Korpatsch vs Jule Niemeier",wta-korpats-niemeie-2026-04-05,Jule Niemeier,0.097198,0.0,10.425386,0.057339623,-0.9559870454280001,-94.34144735488384
"Rolex Monte Carlo Masters, Qualification: Nikoloz Basilashvili vs Cristian Garin",atp-basilas-garin-2026-04-05,Nikoloz Basilashvili,0.06536,0.0,10.943444,0.005471722,-0.7097917778400001,-99.23500611995105
"Upper Austria Ladies Linz, Qualification: Katie Volynets vs Oceane Dodin",wta-volynet-dodin-2026-04-05,Oceane Dodin,0.127358,0.0,10.9132,0.005456600000000001,-1.3844267256,-99.60740589519307
Menorca: Alex Martinez vs Raul Brancaccio,atp-alexmar-brancac-2026-04-05,Alex Martinez,0.141153,0.0,10.573415,0.0052867075000000005,-1.487182539995,-99.64577444333453
"Rolex Monte Carlo Masters, Qualification: David Goffin vs Emilio Nava",atp-goffin-nava-2026-04-05,David Goffin,0.36398,0.0,10.344561,0.0051722805,-3.76004103228,-99.862629814825
